order_book_id,symbol,abbrev_symbol,round_lot,sector_code,sector_code_name,industry_code,industry_name,listed_date,issue_price,de_listed_date,type,exchange,board_type,status,special_type,trading_hours,market_tplus
603196.XSHG,日播时尚,RBSS,100,ConsumerDiscretionary,非必须消费品,C18,纺织服装、服饰业,2017-05-31,7.08,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603197.XSHG,保隆科技,BLKJ,100,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2017-05-19,22.87,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603198.XSHG,迎驾贡酒,YJGJ,100,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2015-05-28,11.8,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603199.XSHG,九华旅游,JHLY,100,ConsumerDiscretionary,非必须消费品,N78,公共设施管理业,2015-03-26,12.08,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603200.XSHG,上海洗霸,SHXB,100,Utilities,公用事业,N77,生态保护和环境治理业,2017-06-01,17.35,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603201.XSHG,常润股份,CRGF,100,ConsumerDiscretionary,非必须消费品,C34,通用设备制造业,2022-07-29,30.56,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603203.XSHG,快克智能,KKZN,100,Industrials,工业,C35,专用设备制造业,2016-11-08,16.5,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603206.XSHG,嘉环科技,JHKJ,100,InformationTechnology,信息技术,I65,软件和信息技术服务业,2022-05-06,14.53,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603208.XSHG,江山欧派,JSOP,100,ConsumerDiscretionary,非必须消费品,C21,家具制造业,2017-02-10,24.83,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603209.XSHG,兴通股份,XTGF,100,Industrials,工业,G55,水上运输业,2022-03-24,21.52,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603211.XSHG,晋拓股份,JTGF,100,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2022-07-25,6.55,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603212.XSHG,赛伍技术,SWJS,100,Materials,原材料,C29,橡胶和塑料制品业,2020-04-30,10.46,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603213.XSHG,镇洋发展,ZYFZ,100,Materials,原材料,C26,化学原料和化学制品制造业,2021-11-11,5.99,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603214.XSHG,爱婴室,AYS,100,ConsumerDiscretionary,非必须消费品,F52,零售业,2018-03-30,19.95,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
